,平均交易量
GIS-KY       ,15443
TPK-KY       ,13930
jpp-KY       ,30
一詮         ,367
一零四       ,24
三商         ,239
三商壽       ,1387
三商電       ,114
三星         ,207
三晃         ,50
三洋紡       ,659
三洋電       ,52
三發地產     ,1364
三福化       ,21
三芳         ,769
三陽工業     ,5215
上曜         ,87
上福         ,19
上銀         ,1347
世紀鋼       ,70
世芯-KY      ,105
中保         ,294
中信金       ,44389
中再保       ,165
中化         ,288
中化生       ,145
中和         ,95
中壽         ,9135
中宇         ,43
中工         ,23884
中櫃         ,70
中環         ,8730
中石化       ,4508
中砂         ,194
中碳         ,430
中磊         ,1006
中福         ,81
中租-KY      ,4660
中纖         ,2828
中聯資源     ,40
中興電       ,4678
中航         ,197
中華         ,581
中華化       ,47
中華電       ,4007
中視         ,8
中釉         ,182
中鋼         ,10917
中鋼構       ,80
中電         ,234
中鴻         ,2764
中鼎         ,602
乙盛-KY      ,420
事欣科       ,410
云辰         ,9269
互億         ,7
互盛電       ,46
五鼎         ,84
亞光         ,4243
亞力         ,271
亞太電       ,2417
亞崴         ,41
亞弘電       ,10
亞德客-KY    ,740
亞翔         ,43
亞聚         ,683
亞諾法       ,97
京元電子     ,2519
京城         ,169
京城銀       ,807
仁寶         ,11526
今國光       ,1284
今皓         ,155
仲琦         ,811
伸興         ,163
佰鴻         ,527
佳世達       ,3702
佳凌         ,94
佳和         ,268
佳大         ,56
佳必琪       ,1585
佳能         ,762
佳醫         ,106
佳龍         ,30
信昌化       ,336
信義         ,406
信邦         ,10818
信錦         ,324
倉佑         ,89
倫飛         ,315
偉全         ,61
偉聯         ,78
偉訓         ,376
偉詮電       ,2593
健和興       ,272
健策         ,286
健鼎         ,1182
傳奇         ,42
億光         ,4683
億泰         ,724
儒鴻         ,2129
允強         ,235
元大金       ,24497
元禎         ,25
兆勁         ,3035
兆豐金       ,21054
兆赫         ,8100
光寶科       ,4547
光磊         ,798
光罩         ,143
光群雷       ,569
光鋐         ,166
光麗-KY      ,26
光鼎         ,127
全友         ,269
全台         ,220
全國         ,195
全國電       ,14
全坤建       ,60
全新         ,16387
全漢         ,165
全科         ,118
六暉-KY      ,140
六福         ,450
再生-KY      ,3114
冠德         ,4974
冠西電       ,106
冠軍         ,353
凌巨         ,838
凌群         ,352
凌華         ,4220
凌通         ,272
凌陽         ,27691
凱撒衛       ,90
利勤         ,1103
利奇         ,341
利華         ,68
創意         ,461
創見         ,549
劍麟         ,909
力山         ,91
力成         ,5767
力特         ,6892
力銘         ,290
力鵬         ,1600
力麗         ,7876
勝一         ,137
勝德         ,93
勝悅-KY      ,209
勤益控       ,558
勤美         ,1009
勤誠         ,443
匯僑         ,44
千興         ,299
卓越         ,59
南亞         ,4526
南亞科       ,1453
南僑         ,1701
南六         ,436
南帝         ,2407
南染         ,12
南港         ,1700
南紡         ,2514
南緯         ,1608
南茂         ,3263
南電         ,2052
厚生         ,753
友佳-DR      ,7
友勁         ,934
友訊         ,739
友通         ,735
友達         ,51146
可寧衛       ,244
可成         ,2606
台中銀       ,1766
台光電       ,2104
台勝科       ,370
台化         ,4752
台南         ,77
台南-KY      ,743
台塑化       ,2459
台富         ,3696
台揚         ,455
台新金       ,14603
台橡         ,1406
台汽電       ,509
台灣大       ,2262
台火         ,220
台玻         ,1618
台產         ,199
台硝         ,75
台積電       ,35243
台端         ,450
台紙         ,280
台耀         ,228
台聚         ,1572
台肥         ,1464
台航         ,305
台船         ,371
台苯         ,2244
台虹         ,464
台表科       ,207
台通         ,851
台達化       ,277
台達電       ,10239
台郡         ,7666
台開         ,3156
台驊投控     ,481
合勤控       ,923
合庫金       ,9609
合機         ,60
吉祥全       ,85
同方友友-DR  ,61
同欣電       ,498
同開         ,58
名軒         ,58
和大         ,9606
和康生       ,139
和成         ,138
和桐         ,3515
和椿         ,109
和泰車       ,327
和益         ,72
和碩         ,4272
和鑫         ,3157
啟碁         ,3651
喬山         ,363
喬福         ,205
喬鼎         ,1179
